floy,temp,round,tank,date,inc_day,embryo_length,,,
HO_003,27,1,2,28/08/2017,96,15.872,,,
HO_027,27,2,1,13/09/2018,105,15.904,,,
HO_003,27,1,2,7/09/2017,106,15.911,,,
HO_021,27,1,2,12/02/2018,132,15.951,,,
HO_027,27,2,1,7/09/2018,99,15.97,,,
HO_020,27,1,2,15/01/2018,104,15.981,,,
HO_003,27,1,2,1/09/2017,100,16.036,,,
HO_027,27,2,1,2/10/2018,124,16.069,,,
HO_004,27,1,2,28/09/2017,127,16.088,,,
HO_009,29,1,1,18/10/2017,92,16.114,,,
HO_028,31,2,2,18/08/2018,79,16.208,,,
HO_015,27,1,2,15/12/2017,118,16.249,,,
HO_020,27,1,2,30/01/2018,119,16.253,,,
HO_009,29,1,1,25/10/2017,99,16.256,,,
HO_021,27,1,2,7/01/2018,96,16.261,,,
HO_003,27,1,2,24/08/2017,92,16.413,,,
HO_026,31,2,2,14/08/2018,92,16.511,,,
HO_002,27,1,2,6/08/2017,99,16.527,,,
HO_024,29,1,1,22/02/2018,84,16.53,,,
HO_008,29,1,1,20/09/2017,91,16.562,,,
HO_024,29,1,1,6/03/2018,96,16.57,,,
HO_026,31,2,2,23/08/2018,101,16.601,,,
HO_003,27,1,2,11/09/2017,110,16.662,,,
HO_025,27,1,2,27/03/2018,117,16.771,,,
HO_033,31,2,2,18/10/2018,70,16.79,,,
HO_002,27,1,2,8/08/2017,101,16.8195,,,
HO_021,27,1,2,23/01/2018,112,16.869,,,
HO_003,27,1,2,18/09/2017,117,16.883,,,
HO_009,29,1,1,11/10/2017,85,16.954,,,
HO_024,29,1,1,12/03/2018,102,17.02,,,
HO_008,29,1,1,26/09/2017,97,17.0285,,,
HO_018,29,1,1,1/01/2018,115,17.188,,,
HO_014,29,1,1,8/11/2017,81,17.1905,,,
HO-042,27,2,1,22/02/2019,99,17.206,,,
HO_022,29,1,1,15/02/2018,101,17.258,,,
HO_002,27,1,2,18/08/2017,111,17.42,,,
HO_002,27,1,2,16/08/2017,109,17.467,,,
HO_024,29,1,1,15/02/2018,77,17.63,,,
HO_004,27,1,2,24/08/2017,92,17.632,,,
HO_035,27,2,1,2/01/2019,132,17.76,,,
HO-036,31,2,2,1/12/2018,86,17.889,,,
HO_040,31,2,2,10/01/2019,96,17.91,,,
HO_002,27,1,2,20/08/2017,113,17.988,,,
HO_041,31,2,2,4/02/2019,81,18.02,,,
HO_024,29,1,1,1/03/2018,91,18.05,,,
HO_002,27,1,2,22/08/2017,115,18.175,,,
HO-029,27,2,1,2/10/2018,121,18.246,,,
HO_022,29,1,1,1/03/2018,115,18.279,,,
HO_040,31,2,2,2/01/2019,88,18.543,,,
HO_030,27,2,1,17/09/2018,106,18.549,,,
HO_028,31,2,2,23/08/2018,84,18.787,,,
HO-029,27,2,1,30/09/2018,119,18.848,,,
HO_027,27,2,1,30/09/2018,122,18.898,,,
HO_024,29,1,1,8/03/2018,98,18.93,,,
HO_026,31,2,2,3/09/2018,112,19.1,,,
HO_002,27,1,2,1/09/2017,125,19.159,,,
HO_003,27,1,2,13/09/2017,112,19.293,,,
HO_035,27,2,1,14/01/2019,134,19.658,,,
HO_020,27,1,2,23/01/2018,112,20.139,,,
HO_020,27,1,2,7/01/2018,96,20.172,,,
HO_022,29,1,1,22/02/2018,108,20.697,,,
HO_002,27,1,2,24/08/2017,117,21.875,,,
HO_002,27,1,2,28/08/2017,121,23.205,,,
