floy,temp,round,tank,date,inc_day,embryo_length,,,
HO_021,27,1,2,6/11/2017,34,4.962,,,
HO_004,27,1,2,23/06/2017,30,4.988,,,
HO_018,29,1,1,13/10/2017,35,5.006,,,
HO_004,27,1,2,25/06/2017,32,5.014,,,
HO_027,27,2,1,5/07/2018,35,5.034,,,
HO_015,27,1,2,20/09/2017,32,5.062,,,
HO_002,27,1,2,5/06/2017,37,5.075,,,
HO_041,31,2,2,18/12/2018,33,5.112,,,
HO_018,29,1,1,18/10/2017,40,5.14,,,
HO_012,27,1,2,20/09/2017,32,5.14,,,
HO_008,29,1,1,23/07/2017,32,5.181,,,
HO-042,27,2,1,18/12/2018,33,5.193,,,
HO_009,29,1,1,14/08/2017,27,5.28,,,
HO_009,29,1,1,1/09/2017,45,5.29,,,
HO_033,31,2,2,13/09/2018,35,5.335,,,
HO-036,31,2,2,8/10/2018,32,5.344,,,
HO_015,27,1,2,13/09/2017,25,5.385,,,
HO_009,29,1,1,20/08/2017,33,5.395,,,
HO_008,29,1,1,19/07/2017,28,5.405,,,
HO_003,27,1,2,23/06/2017,30,5.412,,,
HO_012,27,1,2,28/09/2017,40,5.448,,,
HO_012,27,1,2,13/10/2017,55,5.464,,,
HO_026,31,2,2,26/06/2018,43,5.467,,,
HO_028,31,2,2,10/07/2018,40,5.496,,,
HO_013,29,1,1,22/09/2017,34,5.508,,,
HO_004,27,1,2,11/07/2017,48,5.53,,,
HO_013,29,1,1,28/09/2017,40,5.5465,,,
HO_004,27,1,2,7/07/2017,44,5.551,,,
HO_026,31,2,2,28/06/2018,45,5.565,,,
HO_002,27,1,2,7/06/2017,39,5.579,,,
HO_004,27,1,2,27/07/2017,64,5.618,,,
HO_003,27,1,2,27/07/2017,64,5.633,,,
HO_003,27,1,2,21/06/2017,28,5.644,,,
HO_013,29,1,1,26/09/2017,38,5.6595,,,
HO_009,29,1,1,24/08/2017,37,5.679,,,
HO_033,31,2,2,23/09/2018,45,5.744,,,
HO_033,31,2,2,11/09/2018,33,5.747,,,
HO_015,27,1,2,16/10/2017,58,5.8155,,,
HO_002,27,1,2,17/06/2017,49,5.853,,,
HO-029,27,2,1,16/07/2018,43,5.868,,,
HO_003,27,1,2,29/06/2017,36,5.883,,,
HO_015,27,1,2,2/10/2017,44,5.89,,,
HO_033,31,2,2,15/09/2018,37,5.926,,,
HO_004,27,1,2,1/07/2017,38,5.987,,,
HO_040,31,2,2,20/11/2018,45,5.988,,,
HO_026,31,2,2,5/07/2018,52,6.004,,,
HO_030,27,2,1,12/07/2018,39,6.037,,,
HO_028,31,2,2,5/07/2018,35,6.042,,,
HO_039,27,2,1,15/11/2018,40,6.048,,,
HO-029,27,2,1,12/07/2018,39,6.071,,,
HO_014,29,1,1,28/09/2017,40,6.086,,,
HO-042,27,2,1,15/12/2018,30,6.124,,,
HO_002,27,1,2,9/06/2017,41,6.18,,,
HO_028,31,2,2,3/07/2018,33,6.19,,,
HO_022,29,1,1,7/01/2018,62,6.239,,,
HO_030,27,2,1,16/07/2018,43,6.249,,,
HO_003,27,1,2,7/07/2017,44,6.276,,,
HO_002,27,1,2,15/06/2017,47,6.3,,,
HO_039,27,2,1,20/11/2018,45,6.306,,,
HO_018,29,1,1,11/11/2017,64,6.341,,,
HO_040,31,2,2,17/11/2018,42,6.354,,,
HO_033,31,2,2,17/09/2018,39,6.364,,,
HO_002,27,1,2,23/06/2017,55,6.367,,,
HO_015,27,1,2,22/09/2017,34,6.373,,,
HO_027,27,2,1,26/07/2018,56,6.43,,,
HO_009,29,1,1,12/08/2017,25,6.521,,,
HO_015,27,1,2,11/10/2017,53,6.553,,,
HO_026,31,2,2,3/07/2018,50,6.561,,,
HO_015,27,1,2,23/10/2017,65,6.562,,,
HO_040,31,2,2,15/11/2018,40,6.588,,,
HO_030,27,2,1,30/07/2018,57,6.588,,,
HO_002,27,1,2,11/06/2017,43,6.613,,,
HO_012,27,1,2,9/10/2017,51,6.669,,,
HO_003,27,1,2,5/07/2017,42,6.676,,,
HO_004,27,1,2,13/07/2017,50,6.693,,,
HO_004,27,1,2,3/07/2017,40,6.725,,,
HO-036,31,2,2,4/10/2018,28,6.738,,,
HO_018,29,1,1,6/11/2017,59,6.753,,,
HO_035,27,2,1,22/10/2018,70,6.757,,,
HO-042,27,2,1,7/01/2019,53,6.782,,,
HO_004,27,1,2,5/07/2017,42,6.8,,,
HO_004,27,1,2,2/08/2017,70,6.817,,,
HO_013,29,1,1,11/10/2017,53,6.831,,,
HO_012,27,1,2,23/10/2017,65,6.8405,,,
HO_004,27,1,2,23/07/2017,60,6.841,,,
HO_009,29,1,1,11/09/2017,55,6.877,,,
HO_040,31,2,2,25/11/2018,50,6.916,,,
HO_003,27,1,2,1/07/2017,38,6.93,,,
HO_009,29,1,1,16/08/2017,29,6.938,,,
HO_008,29,1,1,18/08/2017,58,6.944,,,
HO_009,29,1,1,28/08/2017,41,6.946,,,
HO_002,27,1,2,13/06/2017,45,6.964,,,
HO_008,29,1,1,6/08/2017,46,6.979,,,
HO_015,27,1,2,25/10/2017,67,6.996,,,
HO_008,29,1,1,22/08/2017,62,7.015,,,
HO_030,27,2,1,19/07/2018,46,7.015,,,
HO_004,27,1,2,21/07/2017,58,7.021,,,
HO_008,29,1,1,2/08/2017,42,7.108,,,
HO-036,31,2,2,18/10/2018,42,7.163,,,
HO_025,27,1,2,8/02/2018,70,7.164,,,
HO_041,31,2,2,29/12/2018,44,7.19,,,
HO-042,27,2,1,14/01/2019,60,7.19,,,
HO_018,29,1,1,15/11/2017,68,7.2205,,,
HO_026,31,2,2,16/07/2018,63,7.251,,,
HO_028,31,2,2,26/07/2018,56,7.261,,,
HO_013,29,1,1,9/10/2017,51,7.277,,,
HO_026,31,2,2,12/07/2018,59,7.314,,,
HO-042,27,2,1,17/01/2019,63,7.35,,,
HO-042,27,2,1,10/01/2019,56,7.351,,,
HO_003,27,1,2,13/07/2017,50,7.357,,,
HO-036,31,2,2,22/10/2018,46,7.36,,,
HO_015,27,1,2,18/10/2017,60,7.404,,,
HO_012,27,1,2,18/10/2017,60,7.47,,,
HO_028,31,2,2,22/07/2018,52,7.475,,,
HO_004,27,1,2,29/07/2017,66,7.516,,,
HO_008,29,1,1,16/08/2017,56,7.531,,,
HO_003,27,1,2,17/07/2017,54,7.553,,,
HO_024,29,1,1,8/02/2018,70,7.56,,,
HO_012,27,1,2,16/10/2017,58,7.699,,,
HO_030,27,2,1,24/07/2018,51,7.702,,,
HO_014,29,1,1,13/10/2017,55,7.724,,,
HO_002,27,1,2,19/06/2017,51,7.736,,,
HO_012,27,1,2,6/11/2017,79,7.779,,,
HO_014,29,1,1,11/10/2017,53,7.795,,,
HO_015,27,1,2,13/10/2017,55,7.796,,,
HO_030,27,2,1,22/07/2018,49,7.804,,,
HO_020,27,1,2,8/11/2017,36,7.816,,,
HO_013,29,1,1,16/10/2017,58,7.844,,,
HO-029,27,2,1,9/08/2018,67,7.889,,,
HO_014,29,1,1,5/10/2017,47,7.903,,,
HO_033,31,2,2,2/10/2018,54,7.913,,,
HO_012,27,1,2,2/11/2017,75,7.914,,,
HO_008,29,1,1,20/08/2017,60,7.934,,,
HO_035,27,2,1,13/11/2018,74,7.938,,,
HO_009,29,1,1,9/09/2017,53,7.949,,,
HO_003,27,1,2,19/07/2017,56,7.99,,,
HO_027,27,2,1,7/08/2018,68,8.005,,,
HO_004,27,1,2,25/07/2017,62,8.027,,,
HO_027,27,2,1,2/08/2018,63,8.067,,,
